,의안번호,의안명,제안자구분,제안일자,의결일자,의결결과,주요내용,심사진행상태
0,2102896,표시·광고의 공정화에 관한 법률 일부개정법률안(강훈식의원 등 10인),의원,2020-08-11,,,,접수
1,2102895,표시·광고의 공정화에 관한 법률 일부개정법률안(김두관의원 등 11인),의원,2020-08-11,,,,접수
2,2102894,국회법 일부개정법률안(조명희의원 등 12인),의원,2020-08-11,,,,접수
3,2102893,아동복지법 일부개정법률안(인재근의원 등 13인),의원,2020-08-11,,,,접수
4,2102892,아동복지법 일부개정법률안(인재근의원 등 14인),의원,2020-08-11,,,,접수
5,2102891,근로기준법 일부개정법률안(추경호의원 등 15인),의원,2020-08-11,,,,접수
6,2102890,식품위생법 일부개정법률안(인재근의원 등 12인),의원,2020-08-11,,,,접수
7,2102889,의료기사 등에 관한 법률 일부개정법률안(인재근의원 등 11인),의원,2020-08-11,,,,접수
8,2102888,통일교육 지원법 일부개정법률안(설훈의원 등 14인),의원,2020-08-11,,,,접수
9,2102887,형의 실효 등에 관한 법률 일부개정법률안(인재근의원 등 14인),의원,2020-08-11,,,,접수
10,2102886,표시·광고의 공정화에 관한 법률 일부개정법률안(전용기의원 등 13인),의원,2020-08-11,,,,접수
11,2102885,장애인·고령자 등 주거약자 지원에 관한 법률 일부개정법률안(이주환의원 등 10인),의원,2020-08-11,,,,접수
12,2102884,전기통신사업법 일부개정법률안(박성중의원 등 10인),의원,2020-08-11,,,,접수
13,2102883,양육비 이행확보 및 지원에 관한 법률 일부개정법률안(김선교의원 등 10인),의원,2020-08-11,,,,접수
14,2102882,도로교통법 일부개정법률안(김영배의원 등 10인),의원,2020-08-11,,,,접수
15,2102881,약사법 일부개정법률안(김선교의원 등 10인),의원,2020-08-11,,,,접수
16,2102880,해외건설 촉진법 일부개정법률안(조정식의원 등 11인),의원,2020-08-11,,,,접수
17,2102879,근로기준법 일부개정법률안(김영배의원 등 10인),의원,2020-08-11,,,,접수
18,2102878,교통시설특별회계법 일부개정법률안(이주환의원 등 10인),의원,2020-08-11,,,,접수
19,2102877,지방교부세법 일부개정법률안(이주환의원 등 10인),의원,2020-08-11,,,,접수
20,2102876,국가유공자 등 예우 및 지원에 관한 법률 일부개정법률안(윤주경의원 등 15인),의원,2020-08-11,,,,접수
21,2102875,감염병의 예방 및 관리에 관한 법률 일부개정법률안(배진교의원 등 10인),의원,2020-08-11,,,,접수
22,2102874,가맹사업거래의 공정화에 관한 법률 일부개정법률안(이수진의원 등 13인),의원,2020-08-11,,,,접수
23,2102873,근로기준법 일부개정법률안(권칠승의원 등 10인),의원,2020-08-11,,,,접수
24,2102872,피후견인 결격조항 정비를 위한 건설폐기물의 재활용촉진에 관한 법률 등 25개 법률의 일부개정에 관한 법률안 제출,정부,2020-08-11,,,,접수
25,2102871,댐건설 및 주변지역지원 등에 관한 법률 일부개정법률안(이종배의원 등 11인),의원,2020-08-11,,,,접수
26,2102870,장애인고용촉진 및 직업재활법 일부개정법률안(김도읍의원 등 11인),의원,2020-08-11,,,,접수
27,2102869,조세특례제한법 일부개정법률안(김경만의원 등 11인),의원,2020-08-11,,,,접수
28,2102868,지방세법 일부개정법률안(조경태의원 등 10인),의원,2020-08-11,,,,접수
29,2102867,전자정부법 일부개정법률안(민홍철의원 등 17인),의원,2020-08-11,,,,접수
30,2102866,군무원인사법 일부개정법률안(민홍철의원 등 25인),의원,2020-08-11,,,,접수
31,2102865,군인사법 일부개정법률안(민홍철의원 등 26인),의원,2020-08-11,,,,접수
32,2102864,전자금융거래법 일부개정법률안(민홍철의원 등 17인),의원,2020-08-11,,,,접수
33,2102863,국민기초생활 보장법 일부개정법률안(남인순의원 등 13인),의원,2020-08-11,,,,접수
34,2102862,국립묘지의 설치 및 운영에 관한 법률 일부개정법률안(권칠승의원 등 11인),의원,2020-08-11,,,,접수
35,2102861,화장품법 일부개정법률안(이원택의원 등 15인),의원,2020-08-11,,,,접수
36,2102860,‘국군의 날’ 기념일 변경 촉구 결의안(권칠승의원 등 11인),의원,2020-08-11,,,,접수
37,2102859,도로교통법 일부개정법률안(강선우의원 등 10인),의원,2020-08-10,,,,접수
38,2102858,사회성과보상사업의 운영 및 활성화에 관한 법률안(민형배의원 등 10인),의원,2020-08-10,,,,접수
