,카테고리,제목,청원종료일,참여인원,URL
0,안전/환경,텔레그램 n번방 용의자 신상공개 및 포토라인 세워주세요,2020-04-17,"2,715,626",https://www1.president.go.kr/petitions/586819
1,안전/환경,텔레그램 n번방 가입자 전원의 신상공개를 원합니다,2020-04-19,"2,026,252",https://www1.president.go.kr/petitions/586880
2,정치개혁,자유 한국당 정당해산 청원,2019-05-22,"1,831,900",https://www1.president.go.kr/petitions/579682
3,기타,문재인 대통령님을 응원 합니다!,2020-03-27,"1,504,597",https://www1.president.go.kr/petitions/585683
4,정치개혁,문재인 대통령 탄핵을 촉구합니다.,2020-03-05,"1,469,023",https://www1.president.go.kr/petitions/584936
5,인권/성평등,"신천지 예수교 증거장막성전(이하, 신천지)의 강제 해체(해산)을 청원합니다.",2020-03-23,"1,449,521",https://www1.president.go.kr/petitions/585290
6,안전/환경,강서구 피시방 살인 사건. 또 심신미약 피의자입니다.,2018-11-16,"1,192,049",https://www1.president.go.kr/petitions/408609
7,기타,렌트카 훔쳐 사망사고를 낸 10대 엄중 처벌해주세요,2020-05-02,"1,007,040",https://www1.president.go.kr/petitions/587624
8,보건복지,중국인 입국 금지 요청,2020-02-22,"761,833",https://www1.president.go.kr/petitions/584593
9,정치개혁,청와대는 조국 법무부장관 후보자의 임명을 반드시 해주십시오!!,2019-09-20,"757,730",https://www1.president.go.kr/petitions/582190
10,기타,故장자연씨의 수사 기간 연장 및 재수사를 청원합니다.,2019-04-11,"738,566",https://www1.president.go.kr/petitions/559071
11,안전/환경,응급환자가 있는 구급차를 막아세운 택시 기사를 처벌해 주세요.,2020-08-02,"735,972",https://www1.president.go.kr/petitions/590341
12,외교/통일/국방,"제주도 불법 난민 신청 문제에 따른 난민법, 무사증 입국, 난민신청허가 폐지/개헌 청원합니다.",2018-07-13,"714,875",https://www1.president.go.kr/petitions/269548
13,안전/환경,"가해자 n번방박사,n번방회원 모두 처벌해주세요",2020-04-19,"650,579",https://www1.president.go.kr/petitions/586885
14,미래,조두순 출소반대,2017-12-05,"615,354",https://www1.president.go.kr/petitions/10949
15,문화/예술/체육/언론,"김보름, 박지우 선수의 자격박탈과 적폐 빙상연맹의 엄중 처벌을 청원합니다",2018-03-21,"614,127",https://www1.president.go.kr/petitions/142600
16,인권/성평등,"박원순씨 장례를 5일장, 서울특별시장(葬)으로 하는 것 반대합니다.",2020-08-09,"596,410",https://www1.president.go.kr/petitions/590550
17,육아/교육,저희 25개월딸이 초등학생 5학년에게 성폭행을 당했습니다,2020-04-19,"533,883",https://www1.president.go.kr/petitions/586860
18,인권/성평등,강영수 서울고법 수석부장판사의 대법관 후보 자격 박탈을 청원합니다.,2020-08-05,"529,144",https://www1.president.go.kr/petitions/590416
19,안전/환경,박사방 회원 중 여아살해모의한 공익근무요원 신상공개를 원합니다.,2020-04-28,"519,948",https://www1.president.go.kr/petitions/587335
20,보건복지,코로나19의 확산방지를 위해 애써주시는 문재인대통령님과 질병관리본부 및 정부부처 관계자분들께 감사드립니다.,2020-03-27,"491,136",https://www1.president.go.kr/petitions/585682
21,정치개혁,기밀누설죄를 범한 윤석열 총장을 처벌해 주십시요.,2019-09-27,"481,076",https://www1.president.go.kr/petitions/582351
